Rank,HandDescription
1,Royal Flush
2,Straight Flush
3,Four of a Kind
4,Full House
5,Flush
6,Straight
7,Three of a Kind
8,Two Pair
9,Four-Card Flush
10,Four-Card Straight
11,One Pair
12,High Card
