Rank,OrderedRank,HandDescription
1,1,Two of Clubs
2,1,Three of Clubs
3,1,Four of Clubs
4,1,Five of Clubs
5,1,Six of Clubs
6,1,Seven of Clubs
7,1,Eight of Clubs
8,1,Nine of Clubs
9,1,Ten of Clubs
10,1,Jack of Clubs
11,1,Queen of Clubs
12,1,King of Clubs
13,1,Ace of Clubs
14,1,No Clubs
