Rank,OrderedRank,HandDescription
1,1,Ace of Hearts
2,1,King of Hearts
3,1,Queen of Hearts
4,1,Jack of Hearts
5,1,Ten of Hearts
6,1,Nine of Hearts
7,1,Eight of Hearts
8,1,Seven of Hearts
9,1,Six of Hearts
10,1,Five of Hearts
11,1,Four of Hearts
12,1,Three of Hearts
13,1,Two of Hearts
14,1,No Hearts

