Hand,Rank,OrderedRank
Ks,Kh,1,1
Ks,Kd,1,1
Ks,Kc,1,1
Kh,Kd,1,1
Kh,Kc,1,1
Kd,Kc,1,1
Qs,Qh,1,2
Qs,Qd,1,2
Qs,Qc,1,2
Qh,Qd,1,2
Qh,Qc,1,2
Qd,Qc,1,2
Js,Jh,1,3
Js,Jd,1,3
Js,Jc,1,3
Jh,Jd,1,3
Jh,Jc,1,3
Jd,Jc,1,3
Ts,Th,1,4
Ts,Td,1,4
Ts,Tc,1,4
Th,Td,1,4
Th,Tc,1,4
Td,Tc,1,4
9s,9h,1,5
9s,9d,1,5
9s,9c,1,5
9h,9d,1,5
9h,9c,1,5
9d,9c,1,5
8s,8h,1,6
8s,8d,1,6
8s,8c,1,6
8h,8d,1,6
8h,8c,1,6
8d,8c,1,6
7s,7h,1,7
7s,7d,1,7
7s,7c,1,7
7h,7d,1,7
7h,7c,1,7
7d,7c,1,7
6s,6h,1,8
6s,6d,1,8
6s,6c,1,8
6h,6d,1,8
6h,6c,1,8
6d,6c,1,8
5s,5h,1,9
5s,5d,1,9
5s,5c,1,9
5h,5d,1,9
5h,5c,1,9
5d,5c,1,9
4s,4h,1,10
4s,4d,1,10
4s,4c,1,10
4h,4d,1,10
4h,4c,1,10
4d,4c,1,10
3s,3h,1,11
3s,3d,1,11
3s,3c,1,11
3h,3d,1,11
3h,3c,1,11
3d,3c,1,11
2s,2h,1,12
2s,2d,1,12
2s,2c,1,12
2h,2d,1,12
2h,2c,1,12
2d,2c,1,12
As,Ah,1,13
As,Ad,1,13
As,Ac,1,13
Ah,Ad,1,13
Ah,Ac,1,13
Ad,Ac,1,13
Ks,Qs,2,1
Ks,Qh,2,1
Ks,Qd,2,1
Ks,Qc,2,1
Kh,Qs,2,1
Kh,Qh,2,1
Kh,Qd,2,1
Kh,Qc,2,1
Kd,Qs,2,1
Kd,Qh,2,1
Kd,Qd,2,1
Kd,Qc,2,1
Kc,Qs,2,1
Kc,Qh,2,1
Kc,Qd,2,1
Kc,Qc,2,1
Ks,Js,2,2
Ks,Jh,2,2
Ks,Jd,2,2
Ks,Jc,2,2
Kh,Js,2,2
Kh,Jh,2,2
Kh,Jd,2,2
Kh,Jc,2,2
Kd,Js,2,2
Kd,Jh,2,2
Kd,Jd,2,2
Kd,Jc,2,2
Kc,Js,2,2
Kc,Jh,2,2
Kc,Jd,2,2
Kc,Jc,2,2
Ks,Ts,2,3
Ks,Th,2,3
Ks,Td,2,3
Ks,Tc,2,3
Kh,Ts,2,3
Kh,Th,2,3
Kh,Td,2,3
Kh,Tc,2,3
Kd,Ts,2,3
Kd,Th,2,3
Kd,Td,2,3
Kd,Tc,2,3
Kc,Ts,2,3
Kc,Th,2,3
Kc,Td,2,3
Kc,Tc,2,3
Ks,9s,2,4
Ks,9h,2,4
Ks,9d,2,4
Ks,9c,2,4
Kh,9s,2,4
Kh,9h,2,4
Kh,9d,2,4
Kh,9c,2,4
Kd,9s,2,4
Kd,9h,2,4
Kd,9d,2,4
Kd,9c,2,4
Kc,9s,2,4
Kc,9h,2,4
Kc,9d,2,4
Kc,9c,2,4
Ks,8s,2,5
Ks,8h,2,5
Ks,8d,2,5
Ks,8c,2,5
Kh,8s,2,5
Kh,8h,2,5
Kh,8d,2,5
Kh,8c,2,5
Kd,8s,2,5
Kd,8h,2,5
Kd,8d,2,5
Kd,8c,2,5
Kc,8s,2,5
Kc,8h,2,5
Kc,8d,2,5
Kc,8c,2,5
Ks,7s,2,6
Ks,7h,2,6
Ks,7d,2,6
Ks,7c,2,6
Kh,7s,2,6
Kh,7h,2,6
Kh,7d,2,6
Kh,7c,2,6
Kd,7s,2,6
Kd,7h,2,6
Kd,7d,2,6
Kd,7c,2,6
Kc,7s,2,6
Kc,7h,2,6
Kc,7d,2,6
Kc,7c,2,6
Ks,6s,2,7
Ks,6h,2,7
Ks,6d,2,7
Ks,6c,2,7
Kh,6s,2,7
Kh,6h,2,7
Kh,6d,2,7
Kh,6c,2,7
Kd,6s,2,7
Kd,6h,2,7
Kd,6d,2,7
Kd,6c,2,7
Kc,6s,2,7
Kc,6h,2,7
Kc,6d,2,7
Kc,6c,2,7
Ks,5s,2,8
Ks,5h,2,8
Ks,5d,2,8
