Hand,Rank,OrderedRank
6h,4s,3s,2s,1,2
6h,4s,3s,2h,1,2
6h,4s,3s,2d,1,2
6h,4s,3s,2c,1,2
6h,4s,3h,2s,1,2
6h,4s,3h,2h,1,2
6h,4s,3h,2d,1,2
6h,4s,3h,2c,1,2
6h,4s,3d,2s,1,2
6h,4s,3d,2h,1,2
6h,4s,3d,2d,1,2
6h,4s,3d,2c,1,2
6h,4s,3c,2s,1,2
6h,4s,3c,2h,1,2
6h,4s,3c,2d,1,2
6h,4s,3c,2c,1,2
6h,4h,3s,2s,1,2
6h,4h,3s,2h,1,2
6h,4h,3s,2d,1,2
6h,4h,3s,2c,1,2
6h,4h,3h,2s,1,2
6h,4h,3h,2h,1,2
6h,4h,3h,2d,1,2
6h,4h,3h,2c,1,2
6h,4h,3d,2s,1,2
6h,4h,3d,2h,1,2
6h,4h,3d,2d,1,2
6h,4h,3d,2c,1,2
6h,4h,3c,2s,1,2
6h,4h,3c,2h,1,2
6h,4h,3c,2d,1,2
6h,4h,3c,2c,1,2
6h,4d,3s,2s,1,2
6h,4d,3s,2h,1,2
6h,4d,3s,2d,1,2
6h,4d,3s,2c,1,2
6h,4d,3h,2s,1,2
6h,4d,3h,2h,1,2
6h,4d,3h,2d,1,2
6h,4d,3h,2c,1,2
6h,4d,3d,2s,1,2
6h,4d,3d,2h,1,2
6h,4d,3d,2d,1,2
6h,4d,3d,2c,1,2
6h,4d,3c,2s,1,2
6h,4d,3c,2h,1,2
6h,4d,3c,2d,1,2
6h,4d,3c,2c,1,2
6h,4c,3s,2s,1,2
6h,4c,3s,2h,1,2
6h,4c,3s,2d,1,2
6h,4c,3s,2c,1,2
6h,4c,3h,2s,1,2
6h,4c,3h,2h,1,2
6h,4c,3h,2d,1,2
6h,4c,3h,2c,1,2
6h,4c,3d,2s,1,2
6h,4c,3d,2h,1,2
6h,4c,3d,2d,1,2
6h,4c,3d,2c,1,2
6h,4c,3c,2s,1,2
6h,4c,3c,2h,1,2
6h,4c,3c,2d,1,2
6h,4c,3c,2c,1,2
6d,4s,3s,2s,1,2
6d,4s,3s,2h,1,2
6d,4s,3s,2d,1,2
6d,4s,3s,2c,1,2
6d,4s,3h,2s,1,2
6d,4s,3h,2h,1,2
6d,4s,3h,2d,1,2
6d,4s,3h,2c,1,2
6d,4s,3d,2s,1,2
6d,4s,3d,2h,1,2
6d,4s,3d,2d,1,2
6d,4s,3d,2c,1,2
6d,4s,3c,2s,1,2
6d,4s,3c,2h,1,2
6d,4s,3c,2d,1,2
6d,4s,3c,2c,1,2
6d,4h,3s,2s,1,2
6d,4h,3s,2h,1,2
6d,4h,3s,2d,1,2
6d,4h,3s,2c,1,2
6d,4h,3h,2s,1,2
6d,4h,3h,2h,1,2
6d,4h,3h,2d,1,2
6d,4h,3h,2c,1,2
6d,4h,3d,2s,1,2
6d,4h,3d,2h,1,2
6d,4h,3d,2d,1,2
6d,4h,3d,2c,1,2
6d,4h,3c,2s,1,2
6d,4h,3c,2h,1,2
6d,4h,3c,2d,1,2
6d,4h,3c,2c,1,2
6d,4d,3s,2s,1,2
6d,4d,3s,2h,1,2
6d,4d,3s,2d,1,2
6d,4d,3s,2c,1,2
6d,4d,3h,2s,1,2
6d,4d,3h,2h,1,2
6d,4d,3h,2d,1,2
6d,4d,3h,2c,1,2
6d,4d,3d,2s,1,2
6d,4d,3d,2h,1,2
6d,4d,3d,2d,1,2
6d,4d,3d,2c,1,2
6d,4d,3c,2s,1,2
6d,4d,3c,2h,1,2
6d,4d,3c,2d,1,2
6d,4d,3c,2c,1,2
6d,4c,3s,2s,1,2
6d,4c,3s,2h,1,2
6d,4c,3s,2d,1,2
6d,4c,3s,2c,1,2
6d,4c,3h,2s,1,2
6d,4c,3h,2h,1,2
6d,4c,3h,2d,1,2
6d,4c,3h,2c,1,2
6d,4c,3d,2s,1,2
6d,4c,3d,2h,1,2
6d,4c,3d,2d,1,2
6d,4c,3d,2c,1,2
6d,4c,3c,2s,1,2
6d,4c,3c,2h,1,2
6d,4c,3c,2d,1,2
6d,4c,3c,2c,1,2
6c,4s,3s,2s,1,2
6c,4s,3s,2h,1,2
6c,4s,3s,2d,1,2
6c,4s,3s,2c,1,2
6c,4s,3h,2s,1,2
6c,4s,3h,2h,1,2
6c,4s,3h,2d,1,2
6c,4s,3h,2c,1,2
6c,4s,3d,2s,1,2
6c,4s,3d,2h,1,2
6c,4s,3d,2d,1,2
6c,4s,3d,2c,1,2
6c,4s,3c,2s,1,2
6c,4s,3c,2h,1,2
6c,4s,3c,2d,1,2
6c,4s,3c,2c,1,2
6c,4h,3s,2s,1,2
6c,4h,3s,2h,1,2
6c,4h,3s,2d,1,2
6c,4h,3s,2c,1,2
6c,4h,3h,2s,1,2
6c,4h,3h,2h,1,2
6c,4h,3h,2d,1,2
6c,4h,3h,2c,1,2
6c,4h,3d,2s,1,2
6c,4h,3d,2h,1,2
6c,4h,3d,2d,1,2
6c,4h,3d,2c,1,2
6c,4h,3c,2s,1,2
6c,4h,3c,2h,1,2
6c,4h,3c,2d,1,2
6c,4h,3c,2c,1,2
6c,4d,3s,2s,1,2
6c,4d,3s,2h,1,2
6c,4d,3s,2d,1,2
6c,4d,3s,2c,1,2
6c,4d,3h,2s,1,2
6c,4d,3h,2h,1,2
6c,4d,3h,2d,1,2
6c,4d,3h,2c,1,2
6c,4d,3d,2s,1,2
6c,4d,3d,2h,1,2
6c,4d,3d,2d,1,2
6c,4d,3d,2c,1,2
6c,4d,3c,2s,1,2
6c,4d,3c,2h,1,2
6c,4d,3c,2d,1,2
6c,4d,3c,2c,1,2
6c,4c,3s,2s,1,2
6c,4c,3s,2h,1,2
6c,4c,3s,2d,1,2
6c,4c,3s,2c,1,2
6c,4c,3h,2s,1,2
6c,4c,3h,2h,1,2
6c,4c,3h,2d,1,2
6c,4c,3h,2c,1,2
6c,4c,3d,2s,1,2
6c,4c,3d,2h,1,2
6c,4c,3d,2d,1,2
6c,4c,3d,2c,1,2
6c,4c,3c,2s,1,2
6c,4c,3c,2h,1,2
6c,4c,3c,2d,1,2
6c,4c,3c,2c,1,2
6s,5s,3s,2s,1,3
6s,5s,3s,2h,1,3
6s,5s,3s,2d,1,3
6s,5s,3s,2c,1,3
6s,5s,3h,2s,1,3
6s,5s,3h,2h,1,3
6s,5s,3h,2d,1,3
6s,5s,3h,2c,1,3
6s,5s,3d,2s,1,3
6s,5s,3d,2h,1,3
6s,5s,3d,2d,1,3
6s,5s,3d,2c,1,3
6s,5s,3c,2s,1,3
6s,5s,3c,2h,1,3
6s,5s,3c,2d,1,3
6s,5s,3c,2c,1,3
6s,5h,3s,2s,1,3
6s,5h,3s,2h,1,3
6s,5h,3s,2d,1,3
6s,5h,3s,2c,1,3
6s,5h,3h,2s,1,3
6s,5h,3h,2h,1,3
6s,5h,3h,2d,1,3
6s,5h,3h,2c,1,3
6s,5h,3d,2s,1,3
6s,5h,3d,2h,1,3
6s,5h,3d,2d,1,3
6s,5h,3d,2c,1,3
6s,5h,3c,2s,1,3
6s,5h,3c,2h,1,3
6s,5h,3c,2d,1,3
6s,5h,3c,2c,1,3
