Hand,Rank,OrderedRank
Ac,1,1
Ad,1,2
Ah,1,3
As,1,4
2c,1,5
2d,1,6
2h,1,7
2s,1,8
3c,1,9
3d,1,10
3h,1,11
3s,1,12
4c,1,13
4d,1,14
4h,1,15
4s,1,16
5c,1,17
5d,1,18
5h,1,19
5s,1,20
6c,1,21
6d,1,22
6h,1,23
6s,1,24
7c,1,25
7d,1,26
7h,1,27
7s,1,28
8c,1,29
8d,1,30
8h,1,31
8s,1,32
9c,1,33
9d,1,34
9h,1,35
9s,1,36
Tc,1,37
Td,1,38
Th,1,39
Ts,1,40
Jc,1,41
Jd,1,42
Jh,1,43
Js,1,44
Qc,1,45
Qd,1,46
Qh,1,47
Qs,1,48
Kc,1,49
Kd,1,50
Kh,1,51
Ks,1,52
