Hand,Rank,OrderedRank
As,1,1
Ks,2,1
Qs,3,1
Js,4,1
Ts,5,1
9s,6,1
8s,7,1
7s,8,1
6s,9,1
5s,10,1
4s,11,1
3s,12,1
2s,13,1
Ah,14,1
Ad,14,1
Ac,14,1
Kh,14,1
Kd,14,1
Kc,14,1
Qh,14,1
Qd,14,1
Qc,14,1
Jh,14,1
Jd,14,1
Jc,14,1
Th,14,1
Td,14,1
Tc,14,1
9h,14,1
9d,14,1
9c,14,1
8h,14,1
8d,14,1
8c,14,1
7h,14,1
7d,14,1
7c,14,1
6h,14,1
6d,14,1
6c,14,1
5h,14,1
5d,14,1
5c,14,1
4h,14,1
4d,14,1
4c,14,1
3h,14,1
3d,14,1
3c,14,1
2h,14,1
2d,14,1
2c,14,1
