Hand,Rank,OrderedRank
6,6,6,6,3,3,1,1
6,6,6,6,3,2,2,1
A,6,6,6,6,3,3,1
6,6,6,6,2,2,3,1
A,6,6,6,6,2,4,1
K,6,6,6,6,3,4,1
Q,6,6,6,6,3,4,1
J,6,6,6,6,3,4,1
T,6,6,6,6,3,4,1
9,6,6,6,6,3,4,1
8,6,6,6,6,3,4,1
7,6,6,6,6,3,4,1
6,6,6,6,5,3,4,1
6,6,6,6,4,3,4,1
6,6,6,3,3,3,4,1
A,A,6,6,6,6,5,1
K,6,6,6,6,2,5,1
Q,6,6,6,6,2,5,1
J,6,6,6,6,2,5,1
T,6,6,6,6,2,5,1
9,6,6,6,6,2,5,1
8,6,6,6,6,2,5,1
7,6,6,6,6,2,5,1
6,6,6,6,5,2,5,1
6,6,6,6,4,2,5,1
6,6,6,3,3,2,5,1
A,K,6,6,6,6,6,1
A,Q,6,6,6,6,6,1
A,J,6,6,6,6,6,1
A,T,6,6,6,6,6,1
A,9,6,6,6,6,6,1
A,8,6,6,6,6,6,1
A,7,6,6,6,6,6,1
A,6,6,6,6,5,6,1
A,6,6,6,6,4,6,1
A,6,6,6,3,3,6,1
6,6,6,3,2,2,6,1
A,6,6,6,3,2,7,1
K,K,6,6,6,6,7,1
K,Q,6,6,6,6,7,1
K,J,6,6,6,6,7,1
K,T,6,6,6,6,7,1
K,9,6,6,6,6,7,1
K,8,6,6,6,6,7,1
K,7,6,6,6,6,7,1
K,6,6,6,6,5,7,1
K,6,6,6,6,4,7,1
K,6,6,6,3,3,7,1
Q,Q,6,6,6,6,7,1
Q,J,6,6,6,6,7,1
Q,T,6,6,6,6,7,1
Q,9,6,6,6,6,7,1
Q,8,6,6,6,6,7,1
Q,7,6,6,6,6,7,1
Q,6,6,6,6,5,7,1
Q,6,6,6,6,4,7,1
Q,6,6,6,3,3,7,1
J,J,6,6,6,6,7,1
J,T,6,6,6,6,7,1
J,9,6,6,6,6,7,1
J,8,6,6,6,6,7,1
J,7,6,6,6,6,7,1
J,6,6,6,6,5,7,1
J,6,6,6,6,4,7,1
J,6,6,6,3,3,7,1
T,T,6,6,6,6,7,1
T,9,6,6,6,6,7,1
T,8,6,6,6,6,7,1
T,7,6,6,6,6,7,1
T,6,6,6,6,5,7,1
T,6,6,6,6,4,7,1
T,6,6,6,3,3,7,1
9,9,6,6,6,6,7,1
9,8,6,6,6,6,7,1
9,7,6,6,6,6,7,1
9,6,6,6,6,5,7,1
9,6,6,6,6,4,7,1
9,6,6,6,3,3,7,1
8,8,6,6,6,6,7,1
8,7,6,6,6,6,7,1
8,6,6,6,6,5,7,1
8,6,6,6,6,4,7,1
8,6,6,6,3,3,7,1
7,7,6,6,6,6,7,1
7,6,6,6,6,5,7,1
7,6,6,6,6,4,7,1
7,6,6,6,3,3,7,1
6,6,6,6,5,5,7,1
6,6,6,6,5,4,7,1
6,6,6,6,4,4,7,1
6,6,6,5,3,3,7,1
6,6,6,4,3,3,7,1
6,6,6,2,2,2,7,1
6,6,3,3,3,3,7,1
A,A,6,6,6,3,8,1
A,6,6,6,2,2,8,1
K,6,6,6,3,2,8,1
Q,6,6,6,3,2,8,1
J,6,6,6,3,2,8,1
T,6,6,6,3,2,8,1
9,6,6,6,3,2,8,1
8,6,6,6,3,2,8,1
7,6,6,6,3,2,8,1
6,6,6,5,3,2,8,1
6,6,6,4,3,2,8,1
6,6,3,3,3,2,8,1
A,A,6,6,6,2,9,1
A,K,6,6,6,3,9,1
A,Q,6,6,6,3,9,1
A,J,6,6,6,3,9,1
A,T,6,6,6,3,9,1
A,9,6,6,6,3,9,1
A,8,6,6,6,3,9,1
A,7,6,6,6,3,9,1
A,6,6,6,5,3,9,1
A,6,6,6,4,3,9,1
A,6,6,3,3,3,9,1
K,6,6,6,2,2,9,1
Q,6,6,6,2,2,9,1
J,6,6,6,2,2,9,1
T,6,6,6,2,2,9,1
9,6,6,6,2,2,9,1
8,6,6,6,2,2,9,1
7,6,6,6,2,2,9,1
6,6,6,5,2,2,9,1
6,6,6,4,2,2,9,1
6,6,3,3,2,2,9,1
A,A,A,6,6,6,10,1
A,K,6,6,6,2,10,1
A,Q,6,6,6,2,10,1
A,J,6,6,6,2,10,1
A,T,6,6,6,2,10,1
A,9,6,6,6,2,10,1
A,8,6,6,6,2,10,1
A,7,6,6,6,2,10,1
A,6,6,6,5,2,10,1
A,6,6,6,4,2,10,1
A,6,6,3,3,2,10,1
K,K,6,6,6,3,10,1
K,Q,6,6,6,3,10,1
K,J,6,6,6,3,10,1
K,T,6,6,6,3,10,1
K,9,6,6,6,3,10,1
K,8,6,6,6,3,10,1
K,7,6,6,6,3,10,1
K,6,6,6,5,3,10,1
K,6,6,6,4,3,10,1
K,6,6,3,3,3,10,1
Q,Q,6,6,6,3,10,1
Q,J,6,6,6,3,10,1
Q,T,6,6,6,3,10,1
Q,9,6,6,6,3,10,1
Q,8,6,6,6,3,10,1
Q,7,6,6,6,3,10,1
Q,6,6,6,5,3,10,1
Q,6,6,6,4,3,10,1
Q,6,6,3,3,3,10,1
J,J,6,6,6,3,10,1
J,T,6,6,6,3,10,1
J,9,6,6,6,3,10,1
J,8,6,6,6,3,10,1
J,7,6,6,6,3,10,1
J,6,6,6,5,3,10,1
J,6,6,6,4,3,10,1
J,6,6,3,3,3,10,1
T,T,6,6,6,3,10,1
T,9,6,6,6,3,10,1
T,8,6,6,6,3,10,1
T,7,6,6,6,3,10,1
T,6,6,6,5,3,10,1
T,6,6,6,4,3,10,1
T,6,6,3,3,3,10,1
9,9,6,6,6,3,10,1
9,8,6,6,6,3,10,1
9,7,6,6,6,3,10,1
9,6,6,6,5,3,10,1
9,6,6,6,4,3,10,1
9,6,6,3,3,3,10,1
8,8,6,6,6,3,10,1
8,7,6,6,6,3,10,1
8,6,6,6,5,3,10,1
8,6,6,6,4,3,10,1
8,6,6,3,3,3,10,1
7,7,6,6,6,3,10,1
7,6,6,6,5,3,10,1
7,6,6,6,4,3,10,1
7,6,6,3,3,3,10,1
6,6,6,5,5,3,10,1
6,6,6,5,4,3,10,1
6,6,6,4,4,3,10,1
6,6,5,3,3,3,10,1
6,6,4,3,3,3,10,1
6,6,3,2,2,2,10,1
