Hand,Rank,OrderedRank
2h,1,1
3h,2,1
4h,3,1
5h,4,1
6h,5,1
7h,6,1
8h,7,1
9h,8,1
Th,9,1
Jh,10,1
Qh,11,1
Kh,12,1
Ah,13,1
As,14,1
Ad,14,1
Ac,14,1
Ks,14,1
Kd,14,1
Kc,14,1
Qs,14,1
Qd,14,1
Qc,14,1
Js,14,1
Jd,14,1
Jc,14,1
Ts,14,1
Td,14,1
Tc,14,1
9s,14,1
9d,14,1
9c,14,1
8s,14,1
8d,14,1
8c,14,1
7s,14,1
7d,14,1
7c,14,1
6s,14,1
6d,14,1
6c,14,1
5s,14,1
5d,14,1
5c,14,1
4s,14,1
4d,14,1
4c,14,1
3s,14,1
3d,14,1
3c,14,1
2s,14,1
2d,14,1
2c,14,1
