Hand,Rank,OrderedRank
2d,1,1
3d,2,1
4d,3,1
5d,4,1
6d,5,1
7d,6,1
8d,7,1
9d,8,1
Td,9,1
Jd,10,1
Qd,11,1
Kd,12,1
Ad,13,1
As,14,1
Ah,14,1
Ac,14,1
Ks,14,1
Kh,14,1
Kc,14,1
Qs,14,1
Qh,14,1
Qc,14,1
Js,14,1
Jh,14,1
Jc,14,1
Ts,14,1
Th,14,1
Tc,14,1
9s,14,1
9h,14,1
9c,14,1
8s,14,1
8h,14,1
8c,14,1
7s,14,1
7h,14,1
7c,14,1
6s,14,1
6h,14,1
6c,14,1
5s,14,1
5h,14,1
5c,14,1
4s,14,1
4h,14,1
4c,14,1
3s,14,1
3h,14,1
3c,14,1
2s,14,1
2h,14,1
2c,14,1
