Hand,Rank,OrderedRank
As,1,1
Ah,1,2
Ad,1,3
Ac,1,4
Ks,1,5
Kh,1,6
Kd,1,7
Kc,1,8
Qs,1,9
Qh,1,10
Qd,1,11
Qc,1,12
Js,1,13
Jh,1,14
Jd,1,15
Jc,1,16
Ts,1,17
Th,1,18
Td,1,19
Tc,1,20
9s,1,21
9h,1,22
9d,1,23
9c,1,24
8s,1,25
8h,1,26
8d,1,27
8c,1,28
7s,1,29
7h,1,30
7d,1,31
7c,1,32
6s,1,33
6h,1,34
6d,1,35
6c,1,36
5s,1,37
5h,1,38
5d,1,39
5c,1,40
4s,1,41
4h,1,42
4d,1,43
4c,1,44
3s,1,45
3h,1,46
3d,1,47
3c,1,48
2s,1,49
2h,1,50
2d,1,51
2c,1,52
