Hand,Rank,OrderedRank
A,3,2,2,2,2,12,1
A,A,A,A,8,X,12,1
A,A,A,7,2,X,12,1
A,A,A,6,3,X,12,1
A,A,A,5,4,X,12,1
A,A,6,2,2,X,12,1
A,A,5,3,2,X,12,1
A,A,4,4,2,X,12,1
A,A,4,3,3,X,12,1
A,5,2,2,2,X,12,1
A,4,3,2,2,X,12,1
A,3,3,3,2,X,12,1
4,2,2,2,2,X,12,1
3,3,2,2,2,X,12,1
A,A,A,9,X,X,12,1
A,A,8,2,X,X,12,1
A,A,7,3,X,X,12,1
A,A,6,4,X,X,12,1
A,A,5,5,X,X,12,1
A,7,2,2,X,X,12,1
A,6,3,2,X,X,12,1
A,5,4,2,X,X,12,1
A,5,3,3,X,X,12,1
A,4,4,3,X,X,12,1
6,2,2,2,X,X,12,1
5,3,2,2,X,X,12,1
4,4,2,2,X,X,12,1
4,3,3,2,X,X,12,1
3,3,3,3,X,X,12,1
A,A,K,X,X,X,12,1
A,A,Q,X,X,X,12,1
A,A,J,X,X,X,12,1
A,A,T,X,X,X,12,1
A,9,2,X,X,X,12,1
A,8,3,X,X,X,12,1
A,7,4,X,X,X,12,1
A,6,5,X,X,X,12,1
8,2,2,X,X,X,12,1
7,3,2,X,X,X,12,1
6,4,2,X,X,X,12,1
6,3,3,X,X,X,12,1
5,5,2,X,X,X,12,1
5,4,3,X,X,X,12,1
4,4,4,X,X,X,12,1
K,2,X,X,X,X,12,1
Q,2,X,X,X,X,12,1
J,2,X,X,X,X,12,1
T,2,X,X,X,X,12,1
9,3,X,X,X,X,12,1
8,4,X,X,X,X,12,1
7,5,X,X,X,X,12,1
6,6,X,X,X,X,12,1
A,A,A,A,7,2,13,1
A,A,A,A,6,3,13,1
A,A,A,A,5,4,13,1
A,A,A,6,2,2,13,1
A,A,A,5,3,2,13,1
A,A,A,4,4,2,13,1
A,A,A,4,3,3,13,1
A,A,5,2,2,2,13,1
A,A,4,3,2,2,13,1
A,A,3,3,3,2,13,1
A,4,2,2,2,2,13,1
A,3,3,2,2,2,13,1
A,A,A,A,9,X,13,1
A,A,A,8,2,X,13,1
A,A,A,7,3,X,13,1
A,A,A,6,4,X,13,1
A,A,A,5,5,X,13,1
A,A,7,2,2,X,13,1
A,A,6,3,2,X,13,1
A,A,5,4,2,X,13,1
A,A,5,3,3,X,13,1
A,A,4,4,3,X,13,1
A,6,2,2,2,X,13,1
A,5,3,2,2,X,13,1
A,4,4,2,2,X,13,1
A,4,3,3,2,X,13,1
A,3,3,3,3,X,13,1
5,2,2,2,2,X,13,1
4,3,2,2,2,X,13,1
3,3,3,2,2,X,13,1
A,A,A,K,X,X,13,1
A,A,A,Q,X,X,13,1
A,A,A,J,X,X,13,1
A,A,A,T,X,X,13,1
A,A,9,2,X,X,13,1
A,A,8,3,X,X,13,1
A,A,7,4,X,X,13,1
A,A,6,5,X,X,13,1
A,8,2,2,X,X,13,1
A,7,3,2,X,X,13,1
A,6,4,2,X,X,13,1
A,6,3,3,X,X,13,1
A,5,5,2,X,X,13,1
A,5,4,3,X,X,13,1
A,4,4,4,X,X,13,1
7,2,2,2,X,X,13,1
6,3,2,2,X,X,13,1
5,4,2,2,X,X,13,1
5,3,3,2,X,X,13,1
4,4,3,2,X,X,13,1
4,3,3,3,X,X,13,1
A,K,2,X,X,X,13,1
A,Q,2,X,X,X,13,1
A,J,2,X,X,X,13,1
A,T,2,X,X,X,13,1
A,9,3,X,X,X,13,1
A,8,4,X,X,X,13,1
A,7,5,X,X,X,13,1
A,6,6,X,X,X,13,1
9,2,2,X,X,X,13,1
8,3,2,X,X,X,13,1
7,4,2,X,X,X,13,1
7,3,3,X,X,X,13,1
6,5,2,X,X,X,13,1
6,4,3,X,X,X,13,1
5,5,3,X,X,X,13,1
5,4,4,X,X,X,13,1
K,3,X,X,X,X,13,1
Q,3,X,X,X,X,13,1
J,3,X,X,X,X,13,1
T,3,X,X,X,X,13,1
9,4,X,X,X,X,13,1
8,5,X,X,X,X,13,1
7,6,X,X,X,X,13,1
A,A,A,A,8,2,14,1
A,A,A,A,7,3,14,1
A,A,A,A,6,4,14,1
A,A,A,A,5,5,14,1
A,A,A,7,2,2,14,1
A,A,A,6,3,2,14,1
A,A,A,5,4,2,14,1
A,A,A,5,3,3,14,1
A,A,A,4,4,3,14,1
A,A,6,2,2,2,14,1
A,A,5,3,2,2,14,1
A,A,4,4,2,2,14,1
A,A,4,3,3,2,14,1
A,A,3,3,3,3,14,1
A,5,2,2,2,2,14,1
A,4,3,2,2,2,14,1
A,3,3,3,2,2,14,1
3,3,2,2,2,2,14,1
A,A,A,A,K,X,14,1
A,A,A,A,Q,X,14,1
A,A,A,A,J,X,14,1
A,A,A,A,T,X,14,1
A,A,A,9,2,X,14,1
A,A,A,8,3,X,14,1
A,A,A,7,4,X,14,1
A,A,A,6,5,X,14,1
A,A,8,2,2,X,14,1
A,A,7,3,2,X,14,1
A,A,6,4,2,X,14,1
A,A,6,3,3,X,14,1
A,A,5,5,2,X,14,1
A,A,5,4,3,X,14,1
A,A,4,4,4,X,14,1
A,7,2,2,2,X,14,1
A,6,3,2,2,X,14,1
A,5,4,2,2,X,14,1
A,5,3,3,2,X,14,1
A,4,4,3,2,X,14,1
A,4,3,3,3,X,14,1
6,2,2,2,2,X,14,1
5,3,2,2,2,X,14,1
4,4,2,2,2,X,14,1
4,3,3,2,2,X,14,1
3,3,3,3,2,X,14,1
A,A,K,2,X,X,14,1
A,A,Q,2,X,X,14,1
A,A,J,2,X,X,14,1
A,A,T,2,X,X,14,1
A,A,9,3,X,X,14,1
A,A,8,4,X,X,14,1
A,A,7,5,X,X,14,1
A,A,6,6,X,X,14,1
A,9,2,2,X,X,14,1
A,8,3,2,X,X,14,1
A,7,4,2,X,X,14,1
A,7,3,3,X,X,14,1
A,6,5,2,X,X,14,1
A,6,4,3,X,X,14,1
A,5,5,3,X,X,14,1
A,5,4,4,X,X,14,1
8,2,2,2,X,X,14,1
7,3,2,2,X,X,14,1
6,4,2,2,X,X,14,1
6,3,3,2,X,X,14,1
5,5,2,2,X,X,14,1
5,4,3,2,X,X,14,1
5,3,3,3,X,X,14,1
4,4,4,2,X,X,14,1
4,4,3,3,X,X,14,1
A,K,3,X,X,X,14,1
A,Q,3,X,X,X,14,1
A,J,3,X,X,X,14,1
A,T,3,X,X,X,14,1
A,9,4,X,X,X,14,1
A,8,5,X,X,X,14,1
A,7,6,X,X,X,14,1
K,2,2,X,X,X,14,1
Q,2,2,X,X,X,14,1
J,2,2,X,X,X,14,1
T,2,2,X,X,X,14,1
9,3,2,X,X,X,14,1
8,4,2,X,X,X,14,1
8,3,3,X,X,X,14,1
7,5,2,X,X,X,14,1
7,4,3,X,X,X,14,1
6,6,2,X,X,X,14,1
6,5,3,X,X,X,14,1
6,4,4,X,X,X,14,1
5,5,4,X,X,X,14,1
K,4,X,X,X,X,14,1
Q,4,X,X,X,X,14,1
J,4,X,X,X,X,14,1
T,4,X,X,X,X,14,1
9,5,X,X,X,X,14,1
8,6,X,X,X,X,14,1
7,7,X,X,X,X,14,1
A,A,A,A,9,2,15,1
A,A,A,A,8,3,15,1
A,A,A,A,7,4,15,1
A,A,A,A,6,5,15,1
A,A,A,8,2,2,15,1
A,A,A,7,3,2,15,1
A,A,A,6,4,2,15,1
A,A,A,6,3,3,15,1
A,A,A,5,5,2,15,1
A,A,A,5,4,3,15,1
A,A,A,4,4,4,15,1
A,A,7,2,2,2,15,1
A,A,6,3,2,2,15,1
A,A,5,4,2,2,15,1
A,A,5,3,3,2,15,1
A,A,4,4,3,2,15,1
A,A,4,3,3,3,15,1
A,6,2,2,2,2,15,1
A,5,3,2,2,2,15,1
A,4,4,2,2,2,15,1
A,4,3,3,2,2,15,1
A,3,3,3,3,2,15,1
4,3,2,2,2,2,15,1
3,3,3,2,2,2,15,1
A,A,A,K,2,X,15,1
A,A,A,Q,2,X,15,1
A,A,A,J,2,X,15,1
A,A,A,T,2,X,15,1
A,A,A,9,3,X,15,1
A,A,A,8,4,X,15,1
A,A,A,7,5,X,15,1
A,A,A,6,6,X,15,1
A,A,9,2,2,X,15,1
A,A,8,3,2,X,15,1
A,A,7,4,2,X,15,1
A,A,7,3,3,X,15,1
A,A,6,5,2,X,15,1
A,A,6,4,3,X,15,1
A,A,5,5,3,X,15,1
A,A,5,4,4,X,15,1
A,8,2,2,2,X,15,1
A,7,3,2,2,X,15,1
A,6,4,2,2,X,15,1
A,6,3,3,2,X,15,1
A,5,5,2,2,X,15,1
A,5,4,3,2,X,15,1
A,5,3,3,3,X,15,1
A,4,4,4,2,X,15,1
A,4,4,3,3,X,15,1
7,2,2,2,2,X,15,1
6,3,2,2,2,X,15,1
5,4,2,2,2,X,15,1
