Hand,Rank,OrderedRank
2c,1,1
2d,1,2
2h,1,3
2s,1,4
3c,1,5
3d,1,6
3h,1,7
3s,1,8
4c,1,9
4d,1,10
4h,1,11
4s,1,12
5c,1,13
5d,1,14
5h,1,15
5s,1,16
6c,1,17
6d,1,18
6h,1,19
6s,1,20
7c,1,21
7d,1,22
7h,1,23
7s,1,24
8c,1,25
8d,1,26
8h,1,27
8s,1,28
9c,1,29
9d,1,30
9h,1,31
9s,1,32
Tc,1,33
Td,1,34
Th,1,35
Ts,1,36
Jc,1,37
Jd,1,38
Jh,1,39
Js,1,40
Qc,1,41
Qd,1,42
Qh,1,43
Qs,1,44
Kc,1,45
Kd,1,46
Kh,1,47
Ks,1,48
Ac,1,49
Ad,1,50
Ah,1,51
As,1,52
