Hand,Rank,OrderedRank
W1,1,1
B1,1,1
As,1,1
Ah,1,2
Ad,1,3
Ac,1,4
Ks,1,5
Kh,1,6
Kd,1,7
Kc,1,8
Qs,1,9
Qh,1,10
Qd,1,11
Qc,1,12
Js,1,13
Jh,1,14
Jd,1,15
Jc,1,16
7s,1,17
7h,1,18
7d,1,19
7c,1,20
6s,1,21
6h,1,22
6d,1,23
6c,1,24
5s,1,25
5h,1,26
5d,1,27
5c,1,28
4s,1,29
4h,1,30
4d,1,31
4c,1,32
3s,1,33
3h,1,34
3d,1,35
3c,1,36
2s,1,37
2h,1,38
2d,1,39
2c,1,40
