Hand,Rank,OrderedRank
Ks,1,1
Kh,1,2
Kd,1,3
Kc,1,4
Qs,1,5
Qh,1,6
Qd,1,7
Qc,1,8
Js,1,9
Jh,1,10
Jd,1,11
Jc,1,12
Ts,1,13
Th,1,14
Td,1,15
Tc,1,16
9s,1,17
9h,1,18
9d,1,19
9c,1,20
8s,1,21
8h,1,22
8d,1,23
8c,1,24
7s,1,25
7h,1,26
7d,1,27
7c,1,28
6s,1,29
6h,1,30
6d,1,31
6c,1,32
5s,1,33
5h,1,34
5d,1,35
5c,1,36
4s,1,37
4h,1,38
4d,1,39
4c,1,40
3s,1,41
3h,1,42
3d,1,43
3c,1,44
2s,1,45
2h,1,46
2d,1,47
2c,1,48
As,1,49
Ah,1,50
Ad,1,51
Ac,1,52
